id,ra,dec,mag,x,y,z,rarad,decrad,con
223,0.046417,3.860416,9.01,346.408784,4.209772,23.37708,0.012152015,0.067376962,Psc
224,0.046437,2.130155,7.17,42.593097,0.517843,1.584382,0.012157308,0.037178212,Psc
225,0.046674,-15.040543,9.04,112.548976,1.375344,-30.245039,0.012219323,-0.26250699,Cet
226,0.046696,-24.945298,10.3,90664.3105,1108.452782,-42175.2793,0.012225054,-0.435377585,Scl
227,0.046952,80.286579,9.86,14.721417,0.181116,86.009038,0.012292104,1.401265141,Cep
228,0.04735,28.251905,7.64,88.791103,1.100754,47.716651,0.012396248,0.49308876,Peg
229,0.047599,47.252268,8.27,238.146854,2.967865,257.666284,0.012461307,0.82470766,And
230,0.047724,30.336542,8.44,113.404197,1.417007,66.370303,0.012494085,0.529472541,Peg
231,0.04824,-58.781398,9.58,147.233898,1.85997,-242.95341,0.012629127,-1.025928934,Tuc
232,0.048674,-30.149773,8.43,159.52861,2.032977,-92.668268,0.01274283,-0.526212805,Scl
233,0.048797,71.358516,8.49,107.615933,1.374811,319.036068,0.012775097,1.245441057,Cep
234,0.048906,70.238,9.64,165.728492,2.122085,461.32611,0.012803573,1.225884365,Cep
235,0.049098,71.36803,9.17,94.236506,1.211339,279.525206,0.012853716,1.24560711,Cep
236,0.049191,-0.893874,8.09,367.571878,4.733908,-5.735445,0.012878153,-0.015601042,Psc
237,0.049284,-39.527412,9,121.841397,1.572237,-100.544611,0.012902494,-0.689883492,Phe
238,0.049301,-20.045882,6.25,57.451984,0.741591,-20.964675,0.012907025,-0.349866644,Cet
239,0.049546,3.381932,8.56,165.809761,2.150847,9.799269,0.012971046,0.05902585,Psc
240,0.049582,9.795231,10.81,292.385468,3.795532,50.48293,0.012980544,0.170959031,Psc
241,0.050135,9.138279,8.76,267.540066,3.511722,43.040032,0.013125204,0.159493065,Psc
242,0.050148,-34.743939,7.76,117.042189,1.536723,-81.183715,0.013128697,-0.606396137,Scl
243,0.050224,-60.691901,7.82,149.683001,1.96821,-266.666695,0.013148673,-1.059273496,Tuc
244,0.050591,39.995144,7.9,203.191445,2.691385,170.483479,0.013244764,0.698046955,And
245,0.050916,-7.815517,8.52,223.616904,2.980918,-30.696132,0.013329657,-0.136406504,Cet
